"","antigen_iso","Country","y.low","eps","nu","y.high","Lab"
"1","HlyE_IgA","Pakistan",0.508452309,0.2793208827,2.59560775795,1000.0,"AKU"
"2","HlyE_IgG","Pakistan",1.594575648,0.1456403573,2.3600514143,1000.0,"AKU"
"3","LPS_IgA","Pakistan",5.129253765,0.2457212431,2.1384255889,1000.0,"AKU"
"4","LPS_IgG","Pakistan",4.839723319,0.2727277517,3.2372864294,1000.0,"AKU"
